"n","id","text","cons","com_f1","com_f2","crib_f1","crib_f2","dist_f1","dist_f2","fsc_f1","fsc_f2"
1,"sta_1","It is important to vote for leaders who will combat climate change.",FALSE,"","","Items Ranked at Highest Extreme","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,4,-3
2,"sta_2","Scientists should stop falsely claiming that climate change is a settled science.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked at Highest Extreme",TRUE,TRUE,-2,4
3,"sta_3","Climate change is a hoax perpetrated by the United Nations.",FALSE,"","","Items Ranked at Lowest Extreme","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-4,3
4,"sta_4","Poor people will be impacted the worst by climate change.",FALSE,"","","Not on Crib Sheet","Not on Crib Sheet",TRUE,TRUE,0,0
5,"sta_5","They changed the name from ""global warming"" to ""climate change"" because the planet isn't warming.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-2,3
6,"sta_6","The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-3,1
7,"sta_7","Cow farts cause more 'climate change' than human activity.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-2,2
8,"sta_8","Climate change is a threat to the health and safety of our children.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked at Lowest Extreme",TRUE,TRUE,3,-4
9,"sta_9","Politicians and the mass media are ignorant about the risks of climate change.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,0,-1
10,"sta_10","Climate change sceptics ignore basic climate science facts.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,1,-2
11,"sta_11","Through cutting science funding, we damage Australia's ability to respond to climate change.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,2,-1
